QUEST_20150317_000001	Por favor, selecione o usuário que precisa de uma atualização de quest.
QUEST_20150317_000002	Estátua da Deusa Vakarine
QUEST_20150317_000003	Escolha um território.
QUEST_20150317_000004	Escolha
QUEST_20150317_000005	Escolha um item.
QUEST_20150317_000006	Escolha Grupo
QUEST_20150317_000007	Escolha um grupo de início de trapaça.
QUEST_20150317_000008	Escolha Zona
QUEST_20150317_000009	Escolha um território.
QUEST_20150317_000010	Escolha Melhoria
QUEST_20150317_000011	Escolha uma classe.
QUEST_20150317_000012	Mestre Bokor
QUEST_20150317_000013	Então, você tem curiosidade sobre a chapa de pedra. {nl}Se quiser, mostrarei a vontade de seu criador.
QUEST_20150317_000014	Deusa Laima
QUEST_20150317_000015	Quando você tiver recebido essa mensagem, muito tempo terá se passado. {nl}Sou Laima, a deusa do destino e sabedoria.
QUEST_20150317_000016	600 anos atrás, enquanto criava essa revelação, previ um evento com muita morte e sofrimento. {nl}Se você está vendo isso, temo que minha profecia tenha se concretizado.
QUEST_20150317_000017	Os demônios deram início à primeira das calamidades, e as deusas desapareceram. {nl}Eu sabia que isso aconteceria, e fiz o possível para evitar esse destino, mas meu poder não foi suficiente.
QUEST_20150317_000018	Em vez disso, perambulei por sonhos oniscientes em busca de uma resposta. {nl}Você estava no final de um deles... um Salvador.
QUEST_20150317_000019	Infelizmente, os demônios não poderiam ficar parados sabendo que possuo uma clarividência poderosa. {nl}Fui forçada a me esconder até o momento em que você surgiu.
QUEST_20150317_000020	Decidi dividir meu ser e permanecer dentre muitas revelações. {nl} Revelações tais que continuei a criar em segredo no decorrer de um milênio.
QUEST_20150317_000021	Salvador, se puder me ajudar a recuperar minha forma, podemos dar fim aos planos sinistros dos demônios.{nl}Você deve recuperar as revelações que ocultei por todo e cada eixo do tempo.
QUEST_20150317_000022	Essa tarefa divina pode ser um fardo pesado, mas é algo que você deve suportar. {nl}Talvez no decorrer enlameado de suas provações e dificuldades algo venha a surgir.
QUEST_20150317_000023	Entretanto, só nós podemos salvar esse mundo.
QUEST_20150317_000024	Eu passei a próxima revelação ao primeiro Paladino. {nl}Ele espera por você no mais alto jardim florido.
QUEST_20150317_000025	A aura escura é realmente desagradável... {nl}Mas se essa mensagem realmente for da Deusa Laima, estou completamente tomado por admiração.
QUEST_20150317_000026	Bem, você deveria se apressar e encontrar Sir Uska. {nl}Ele vai dizer para onde você deve seguir. {nl}Que a deusa abençoe seu destino...
QUEST_20150317_000027	Favor escolher o Gen Inteligente favorito.
QUEST_20150317_000028	William
QUEST_20150317_000029	A taxa é de 100 pratas. {nl}É mais barato do que cruzar a central de monstros.
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	Isso vai custar 100 moedas de prata. {nl}Isso cobrirá os custos da operação, mão de obra e outros gastos.
QUEST_20150317_000032	Ei, espera um pouco. {nl}Você sabe que precisa mais do que isso...
QUEST_20150317_000033	Isso não é suficiente! {nl}Não posso trabalhar de graça, mesmo para um Revelador.
QUEST_20150317_000034	Comerciante Ambulante
QUEST_20150317_000035	Como sementes de dente-de-leão, eu meramente sigo o vento. {nl}Já que nos encontramos de forma tão curiosa, talvez você possa tirar um instante para ver meus produtos curiosos?
QUEST_20150317_000036	Kristina
QUEST_20150317_000037	Saudações! {nl}Você procura um companheiro de viagem, certo? {nl}Você não encontrará um lugar melhor para buscar um parceiro do que aqui!
QUEST_20150317_000038	Você pode fazer com que seus companheiros observem sua luta, ou pode treinar habilidades especiais. {nl}Conquiste afeto suficiente e você pode até comprar uns equipamentos maneiros!
QUEST_20150317_000039	Aumentar o efeito de seu companheiro aumentará o vigor de montaria e evasão! {nl}Então, que tal? Isso é suficiente para te convencer a obter um?
QUEST_20150317_000040	A caixa requer uma chave correspondente.
QUEST_20150317_000041	Escolha Quest
QUEST_20150317_000042	Modificar Estado da Quest
QUEST_20150317_000043	Forçar início?
QUEST_20150317_000044	Itens a serem deletados
QUEST_20150317_000045	Escolha o Tipo de Gen
QUEST_20150317_000046	Escolha Coordenadas
QUEST_20150317_000047	Cavaleiro Titas
QUEST_20150317_000048	Se sim, vá procurar o Cavaleiro Comandante Uska em Klaipeda. {nl}Mas antes, há algo importante que preciso te contar, então me siga.
QUEST_20150317_000049	Seria bom se pudesse ter um segundo para relaxar...
QUEST_20150317_000050	Sparnas... {nl}não é alguém que deva ser subestimado...
QUEST_20150317_000051	Soldado Moody
QUEST_20150317_000052	Vamos lidar com esse monstro antes de conversar.
QUEST_20150317_000053	Equipe de Investigao Conjunta - Scott
QUEST_20150317_000054	Eu espero ansioso por uma época em que nossa equipe não seja mais necessária... {nl}Que era pacífica ela seria...
QUEST_20150317_000055	Não sei por onde começar. {nl}Você ficou sabendo de algo?
QUEST_20150317_000056	Seguindo decreto real, viemos a essa floresta investigar alguns eventos estranhos. {nl}Testemunhas relataram algo com um rosto enorme e dedos ossudos. {nl}Mas que diabos poderia ser?
QUEST_20150317_000057	No passado, peregrinos viajavam por essa floresta. {nl}Mas agora, devido à presença de monstros, apenas soldados se reúnem aqui.
QUEST_20150317_000058	Até quatro anos atrás, as deusas nos abençoavam com sinais de suas presenças frequentemente. {nl}Mas agora, mesmo nossas preces combinadas não têm o menor impacto. {nl}Será que elas realmente nos abandonaram?
QUEST_20150317_000059	Vacenin vai pessoalmente a cada região para lidar com as coisas. {nl}Ele fica desconfortável quando permanece na cidade.
QUEST_20150317_000060	Você planeja ficar ou se alistar? {nl}Se tiver interesse, terei prazer em recomendar você aos comandantes.
QUEST_20150317_000061	Não baixe sua guarda. Monstros podem aparecer a qualquer instante, em qualquer lugar.
QUEST_20150317_000062	Onde será que a Deusa Zemyna foi parar...
QUEST_20150317_000063	Como você chamaria uma coisa dessas?
QUEST_20150317_000064	Acho que Zemyna, a deusa da terra, sofreria mais do que qualquer outra pessoa.
QUEST_20150317_000065	Os Pokubus sempre estiveram aqui, mas às vezes monstros menos familiares também são avistados.
QUEST_20150317_000066	Eu pensei nisso. Não há dúvida que as deusas abandonaram todos nós. {nl}Se não fosse o caso, não haveria tantos monstros.
QUEST_20150317_000067	Dizem que háum homem abençoado com a força da deusa vivendo na floresta.
QUEST_20150317_000068	Quero ir para casa.
QUEST_20150317_000069	O número de monstros aqui não parece mudar, não importa quantos são mortos.
QUEST_20150317_000070	Julian enviou você Revelador?
QUEST_20150317_000071	Estou de queixo caído. {nl}Você é a primeira pessoa que encontrei aqui em muitos anos.
QUEST_20150317_000072	Vou te mostrar o que vi.
QUEST_20150317_000073	Por favor, esqueça sobre mim, e apenas vá embora. {nl}As flores parecem estar crescendo maravilhosamente.
QUEST_20150317_000074	Lena
QUEST_20150317_000075	Por favor, me conte a história da sua vida. {nl}Seguimos a vontade de Vybora e registramos tudo que há nesse mundo.
QUEST_20150317_000076	Henryka
QUEST_20150317_000077	Olá! {nl}Obrigado por vir até a filial de Klaipeda da Sociedade dos Magos. {nl}Nos especializamos no estudo de fenômenos estranhos que ocorrem quando itens especiais são combinados.
QUEST_20150317_000078	Não há nada para ver aqui além de vapor e Vubbes. {nl}Espere, o que é aquela coisa com rosto grande se aproximando?!
QUEST_20150317_000079	A terra também precisa de nossa atenção. {nl}O mundo ainda não está arruinado... né?
QUEST_20150317_000080	Se continuarmos com cordialidade, ainda saberemos como levar uma vida justa. {nl}Devemos ponderar se essa bagunça é nossa culpa ou não por termos dependido tanto das deusas para tudo.
QUEST_20150317_000081	Quadro de Avisos
QUEST_20150317_000082	Saudações! Essa é a cidade mineradora de Klaipeda!
QUEST_20150317_000083	Viúva Indiferente
QUEST_20150317_000084	Não tenho certeza se entendi corretamente, mas tenho certeza de que as deusas não desapareceram todas de uma vez.
QUEST_20150317_000085	A primeira a desaparecer foi a Deusa Gabija. {nl}Ouvi dizer que faz muito tempo. {nl}Uma por uma, começando com Gabija, elas pararam de responder.
QUEST_20150317_000086	A Deusa Vakarine nos deixou às vésperas de Medzio Diena. {nl}Tanto Zemyna quanto Ausrine desapareceram logo em seguida. {nl}Já faz quatro anos desde então.
QUEST_20150317_000087	Isso mesmo. A mais estranha de todas foi a Deusa Laima. {nl}Ninguém sabe ao certo quando ela desapareceu.
QUEST_20150317_000088	Além disso, Laima não é a Deusa do Destino e Sabedoria? {nl}Ela provavelmente estava ciente de tudo isso.
QUEST_20150317_000089	Soldado em Descanso
